month,recd,sent,ratio,recdMax,sentMax,recdMin,sentMin,recdAvg,sentAvg
8/1/19,13,3,0.19,375,1013,47,6,127.6,368.0
8/2/19,22,7,0.24,315,87,41,6,143.1,39.4
8/3/19,0,0,0,0,0,,,,
8/4/19,4,0,0,149,0,56,,99.0,
8/5/19,11,5,0.31,1000,24,49,11,264.5,16.2
8/6/19,10,6,0.38,179,54,42,12,91.3,35.5
8/7/19,6,5,0.45,455,289,60,23,185.5,120.0
8/8/19,14,23,0.62,2000,156,48,6,285.4,52.5
8/9/19,14,10,0.42,253,5000,53,34,168.1,635.4
8/10/19,,0,0,0,0,,,,
8/11/19,1,0,0,87,0,87,,87.0,
8/12/19,7,7,0.5,848,161,62,35,356.6,90.7
8/13/19,12,21,0.64,351,690,53,9,151.6,179.4
8/14/19,19,19,0.5,9000,555,70,26,611.9,123.7
8/15/19,15,9,0.38,301,2000,38,10,154.3,472.6
8/16/19,5,5,0.5,251,211,68,36,165.2,106.4
8/17/19,2,0,0,238,0,175,,206.5,
8/18/19,1,0,0,91,0,91,,91.0,
8/19/19,6,1,0.14,399,27,143,27,223.7,27.0
8/20/19,10,1,0.09,241,51,52,51,137.8,51.0
8/21/19,7,1,0.13,143,27,57,27,91.6,27.0
8/22/19,10,5,0.33,3000,57,62,16,410.6,31.6
8/23/19,15,2,0.12,613,63,73,16,212.0,39.5
8/24/19,1,0,0,75,0,75,,75.0,
8/25/19,2,0,0,140,0,92,,116.0,
8/26/19,21,22,0.51,1000,88,49,6,352.7,34.2
8/27/19,15,15,0.5,367,126,57,13,141.9,63.6
8/28/19,11,14,0.56,603,497,62,6,184.0,101.1
8/29/19,14,22,0.63,320,231,60,9,150.5,108.2
8/30/19,5,12,0.71,629,72,92,6,213.4,28.3
